cluster_final,tag,count,share_of_cluster,cluster_size
12,everyday_life,8,0.04040404040404041,198
12,army_police,6,0.030303030303030304,198
12,covid_pandemic,6,0.030303030303030304,198
12,transport,5,0.025252525252525252,198
12,textual_forms,5,0.025252525252525252,198
12,media_popculture,5,0.025252525252525252,198
12,sex_gender,5,0.025252525252525252,198
12,finance_economy,5,0.025252525252525252,198
12,consumer_services,4,0.020202020202020204,198
12,education_children,3,0.015151515151515152,198
12,absurd_philosophy,3,0.015151515151515152,198
12,politics_power,2,0.010101010101010102,198
12,family_relationships,2,0.010101010101010102,198
12,cities_places,1,0.005050505050505051,198
12,law_crime,1,0.005050505050505051,198
12,literature_folklore_characters,1,0.005050505050505051,198
12,science_space,1,0.005050505050505051,198
13,alcohol_smoking_drugs,79,0.398989898989899,198
13,food_diet,21,0.10606060606060606,198
13,sex_gender,14,0.0707070707070707,198
13,science_space,13,0.06565656565656566,198
13,absurd_philosophy,12,0.06060606060606061,198
13,covid_pandemic,11,0.05555555555555555,198
13,health_medicine,9,0.045454545454545456,198
13,everyday_life,8,0.04040404040404041,198
13,consumer_services,5,0.025252525252525252,198
13,army_police,5,0.025252525252525252,198
13,politics_power,4,0.020202020202020204,198
13,education_children,4,0.020202020202020204,198
13,work_professions,4,0.020202020202020204,198
13,it_internet,4,0.020202020202020204,198
13,cities_places,4,0.020202020202020204,198
13,textual_forms,3,0.015151515151515152,198
13,religion_holidays,3,0.015151515151515152,198
13,family_relationships,3,0.015151515151515152,198
13,media_popculture,3,0.015151515151515152,198
13,finance_economy,3,0.015151515151515152,198
13,literature_folklore_characters,2,0.010101010101010102,198
13,transport,2,0.010101010101010102,198
13,law_crime,2,0.010101010101010102,198
13,sport,2,0.010101010101010102,198
13,animals,2,0.010101010101010102,198
13,soviet_history_politics,1,0.005050505050505051,198
14,education_children,81,0.4682080924855491,173
14,literature_folklore_characters,15,0.08670520231213873,173
14,it_internet,14,0.08092485549132948,173
14,sex_gender,13,0.07514450867052024,173
14,media_popculture,11,0.06358381502890173,173
14,absurd_philosophy,10,0.057803468208092484,173
14,textual_forms,9,0.05202312138728324,173
14,army_police,6,0.03468208092485549,173
14,work_professions,6,0.03468208092485549,173
14,health_medicine,6,0.03468208092485549,173
14,politics_power,5,0.028901734104046242,173
14,transport,4,0.023121387283236993,173
14,alcohol_smoking_drugs,3,0.017341040462427744,173
14,food_diet,3,0.017341040462427744,173
14,cities_places,3,0.017341040462427744,173
14,everyday_life,2,0.011560693641618497,173
14,finance_economy,2,0.011560693641618497,173
14,family_relationships,2,0.011560693641618497,173
14,ethnic_regional,1,0.005780346820809248,173
14,science_space,1,0.005780346820809248,173
14,religion_holidays,1,0.005780346820809248,173
14,consumer_services,1,0.005780346820809248,173
14,covid_pandemic,1,0.005780346820809248,173
15,law_crime,113,0.6848484848484848,165
15,army_police,17,0.10303030303030303,165
15,transport,9,0.05454545454545454,165
15,sex_gender,7,0.04242424242424243,165
15,alcohol_smoking_drugs,6,0.03636363636363636,165
15,absurd_philosophy,5,0.030303030303030304,165
15,media_popculture,4,0.024242424242424242,165
15,finance_economy,4,0.024242424242424242,165
15,politics_power,4,0.024242424242424242,165
15,literature_folklore_characters,3,0.01818181818181818,165
15,work_professions,2,0.012121212121212121,165
15,health_medicine,1,0.006060606060606061,165
15,it_internet,1,0.006060606060606061,165
15,animals,1,0.006060606060606061,165
15,family_relationships,1,0.006060606060606061,165
16,sport,105,0.7553956834532374,139
16,literature_folklore_characters,10,0.07194244604316546,139
16,politics_power,10,0.07194244604316546,139
16,textual_forms,4,0.02877697841726619,139
16,finance_economy,4,0.02877697841726619,139
16,media_popculture,3,0.02158273381294964,139
