feature_set,method,metric,params,k,resolution,seed,rows,cluster_count,largest_cluster_share,noise_share,ari_all,ami_all,v_measure_all,ari_excluding_other,ami_excluding_other,v_measure_excluding_other,ari_single_clear,ami_single_clear,v_measure_single_clear,pairwise_f1_all,pairwise_precision_all,pairwise_recall_all,balanced_score,n_clusters,error
hybrid_dense_lexical_dw0.75_lw0.25,leiden,cosine,k=30;resolution=0.5;seed=1,30.0,0.5,1.0,5509.0,6.0,0.3909965510982029,0.0,0.07656830135501061,0.2023850598868952,0.20676953547453866,0.07656830135501061,0.2023850598868952,0.20676953547453866,0.07656830135501061,0.2023850598868952,0.20676953547453866,0.1924490201582161,0.12073849438274294,0.4739336668313799,0.15362969028416013,,
hybrid_dense_lexical_dw0.75_lw0.25,leiden,cosine,k=10;resolution=0.35;seed=7,10.0,0.35,7.0,5509.0,7.0,0.3109457251769831,0.0,0.07771100382203802,0.20069300084635464,0.20596181063652597,0.07771100382203802,0.20069300084635464,0.20596181063652597,0.07771100382203802,0.20069300084635464,0.20596181063652597,0.19288773408860999,0.12202980651395173,0.4599802344110021,0.1535199007927358,,
dense_bge_pca,leiden,cosine,k=15;resolution=0.5;seed=7,15.0,0.5,7.0,5509.0,6.0,0.32419676892357957,0.0,0.08141605196727317,0.19685817214412646,0.2012458138254445,0.08141605196727317,0.19685817214412646,0.2012458138254445,0.08141605196727317,0.19685817214412646,0.2012458138254445,0.19545226678783376,0.12404932671157333,0.460539149006261,0.15319835683293512,,
tfidf_char_svd,leiden,cosine,k=75;resolution=1.0;seed=42,75.0,1.0,42.0,5509.0,22.0,0.19241241604646941,0.0,0.08076830101552844,0.20819133959575165,0.22255244972064955,0.08076830101552844,0.20819133959575165,0.22255244972064955,0.08076830101552844,0.20819133959575165,0.22255244972064955,0.15842782669447222,0.14067997415092984,0.18130023522531477,0.1531924359928657,,
dense_bge_pca,leiden,cosine,k=15;resolution=0.5;seed=42,15.0,0.5,42.0,5509.0,6.0,0.32111090942094755,0.0,0.08199771664017545,0.1961760654137571,0.20055614448272557,0.08199771664017545,0.1961760654137571,0.20055614448272557,0.08199771664017545,0.1961760654137571,0.20055614448272557,0.1957380919402067,0.12453764675594381,0.45703112710125054,0.1531211825835268,,
dense_bge_pca,leiden,cosine,k=15;resolution=0.5;seed=1,15.0,0.5,1.0,5509.0,6.0,0.32546741695407516,0.0,0.08082548734225524,0.196839374963875,0.20122427916592373,0.08082548734225524,0.196839374963875,0.20122427916592373,0.08082548734225524,0.196839374963875,0.20122427916592373,0.1950881006592986,0.12383712504711114,0.4594203944604531,0.15293921111879222,,
hybrid_dense_lexical_dw1.25_lw1.0,leiden,cosine,k=75;resolution=2.5;seed=1,75.0,2.5,1.0,5509.0,34.0,0.06353240152477764,0.0,0.24137420395233397,0.37900013270511834,0.39496526164157475,0.24137420395233397,0.37900013270511834,0.39496526164157475,0.24137420395233397,0.37900013270511834,0.39496526164157475,0.27963181623342354,0.41219874061000916,0.2115843378065008,0.15287996638380227,,
hybrid_dense_lexical_dw0.75_lw0.25,leiden,cosine,k=30;resolution=0.5;seed=7,30.0,0.5,7.0,5509.0,6.0,0.3082229079687784,0.0,0.08059955879673897,0.19607442218004822,0.20046468403631726,0.08059955879673897,0.19607442218004822,0.20046468403631726,0.08059955879673897,0.19607442218004822,0.20046468403631726,0.19575899244847728,0.12429856191924599,0.46051138834755606,0.15266272157380611,,
hybrid_dense_lexical_dw1.25_lw1.0,leiden,cosine,k=50;resolution=2.5;seed=7,50.0,2.5,7.0,5509.0,35.0,0.06534761299691413,0.0,0.24220168516076324,0.3769953832668746,0.3934163031971819,0.24220168516076324,0.3769953832668746,0.3934163031971819,0.24220168516076324,0.3769953832668746,0.3934163031971819,0.2799532638745604,0.40442329511185854,0.21406891676059023,0.15240431077581143,,
hybrid_dense_lexical_structural_dw1.0_lw0.25_sw0.1,leiden,cosine,k=15;resolution=2.5;seed=7,15.0,2.5,7.0,5509.0,36.0,0.07278998003267381,0.0,0.24271011710206913,0.3776391395984277,0.3945506758088054,0.24271011710206913,0.3776391395984277,0.3945506758088054,0.24271011710206913,0.3776391395984277,0.3945506758088054,0.2769006599811434,0.4091483117851185,0.20926169602819003,0.15235866399873635,,
hybrid_dense_lexical_dw1.25_lw1.0,leiden,cosine,k=75;resolution=2.5;seed=7,75.0,2.5,7.0,5509.0,34.0,0.06280631693592303,0.0,0.24024242021019385,0.3782031808463786,0.3942596714140615,0.24024242021019385,0.3782031808463786,0.3942596714140615,0.24024242021019385,0.3782031808463786,0.3942596714140615,0.2803245862358818,0.4034257408533936,0.2147851417551769,0.15234319733302562,,
hybrid_dense_lexical_structural_dw1.0_lw0.25_sw0.1,leiden,cosine,k=30;resolution=0.65;seed=42,30.0,0.65,42.0,5509.0,6.0,0.3249228535124342,0.0,0.08149065538384656,0.19490370594496398,0.19929101925971032,0.08149065538384656,0.19490370594496398,0.19929101925971032,0.08149065538384656,0.19490370594496398,0.19929101925971032,0.19520146618018303,0.12415560337459047,0.4563260063701458,0.15229098585511097,,
tfidf_char_svd,leiden,cosine,k=30;resolution=0.8;seed=42,30.0,0.8,42.0,5509.0,27.0,0.30277727355236883,0.0,0.05713131925674841,0.2260735940152607,0.2435873568007538,0.05713131925674841,0.2260735940152607,0.2435873568007538,0.05713131925674841,0.2260735940152607,0.2435873568007538,0.14463090604502307,0.11575740191647683,0.19269506026839006,0.1521771349892697,,
tfidf_char_svd,leiden,cosine,k=30;resolution=0.8;seed=1,30.0,0.8,1.0,5509.0,28.0,0.3365402069341078,0.0,0.0518915217092687,0.22915388440224882,0.24744064241520286,0.0518915217092687,0.22915388440224882,0.24744064241520286,0.0518915217092687,0.22915388440224882,0.24744064241520286,0.14452587206439665,0.1100374203559771,0.2105025974722995,0.1521635684099104,,
dense_bge_pca,leiden,cosine,k=20;resolution=0.5;seed=7,20.0,0.5,7.0,5509.0,6.0,0.312579415501906,0.0,0.08152641229565749,0.1940462689019468,0.19844215618886704,0.08152641229565749,0.1940462689019468,0.19844215618886704,0.08152641229565749,0.1940462689019468,0.19844215618886704,0.1960662319499974,0.12461494494123528,0.4595767795044908,0.15209096290630286,,
