year,month,archive_url,candidate_count_total_month,candidate_count_tagged_month,selected_count
2007,8,https://www.anekdot.ru/an/an0708/j0708;100.html,100,20,20
2007,9,https://www.anekdot.ru/an/an0709/j0709;100.html,100,7,7
2007,10,https://www.anekdot.ru/an/an0710/j0710;100.html,100,14,14
2007,11,https://www.anekdot.ru/an/an0711/j0711;100.html,100,24,24
2007,12,https://www.anekdot.ru/an/an0712/j0712;100.html,100,10,10
2008,1,https://www.anekdot.ru/an/an0801/j0801;100.html,100,17,17
2008,2,https://www.anekdot.ru/an/an0802/j0802;100.html,100,13,13
2008,3,https://www.anekdot.ru/an/an0803/j0803;100.html,100,15,15
2008,4,https://www.anekdot.ru/an/an0804/j0804;100.html,100,9,9
2008,5,https://www.anekdot.ru/an/an0805/j0805;100.html,100,18,18
2008,6,https://www.anekdot.ru/an/an0806/j0806;100.html,100,13,13
2008,7,https://www.anekdot.ru/an/an0807/j0807;100.html,100,17,17
2008,8,https://www.anekdot.ru/an/an0808/j0808;100.html,100,12,12
2008,9,https://www.anekdot.ru/an/an0809/j0809;100.html,100,19,19
2008,10,https://www.anekdot.ru/an/an0810/j0810;100.html,100,20,20
2008,11,https://www.anekdot.ru/an/an0811/j0811;100.html,100,21,21
2008,12,https://www.anekdot.ru/an/an0812/j0812;100.html,100,20,20
2009,1,https://www.anekdot.ru/an/an0901/j0901;100.html,100,20,20
2009,2,https://www.anekdot.ru/an/an0902/j0902;100.html,100,17,17
2009,3,https://www.anekdot.ru/an/an0903/j0903;100.html,100,15,15
2009,4,https://www.anekdot.ru/an/an0904/j0904;100.html,100,20,20
2009,5,https://www.anekdot.ru/an/an0905/j0905;100.html,100,20,20
2009,6,https://www.anekdot.ru/an/an0906/j0906;100.html,100,24,24
2009,7,https://www.anekdot.ru/an/an0907/j0907;100.html,100,14,14
2009,8,https://www.anekdot.ru/an/an0908/j0908;100.html,100,20,20
2009,9,https://www.anekdot.ru/an/an0909/j0909;100.html,100,13,13
2009,10,https://www.anekdot.ru/an/an0910/j0910;100.html,100,17,17
2009,11,https://www.anekdot.ru/an/an0911/j0911;100.html,100,14,14
2009,12,https://www.anekdot.ru/an/an0912/j0912;100.html,100,16,16
2010,1,https://www.anekdot.ru/an/an1001/j1001;100.html,100,16,16
2010,2,https://www.anekdot.ru/an/an1002/j1002;100.html,100,25,25
2010,3,https://www.anekdot.ru/an/an1003/j1003;100.html,100,13,13
2010,4,https://www.anekdot.ru/an/an1004/j1004;100.html,100,15,15
2010,5,https://www.anekdot.ru/an/an1005/j1005;100.html,100,17,17
2010,6,https://www.anekdot.ru/an/an1006/j1006;100.html,100,21,21
2010,7,https://www.anekdot.ru/an/an1007/j1007;100.html,100,17,17
2010,8,https://www.anekdot.ru/an/an1008/j1008;100.html,19,5,5
2010,9,https://www.anekdot.ru/an/an1009/j1009;100.html,100,19,19
2010,10,https://www.anekdot.ru/an/an1010/j1010;100.html,100,27,27
2010,11,https://www.anekdot.ru/an/an1011/j1011;100.html,100,28,28
2010,12,https://www.anekdot.ru/an/an1012/j1012;100.html,100,33,30
2011,1,https://www.anekdot.ru/an/an1101/j1101;100.html,100,37,30
2011,2,https://www.anekdot.ru/an/an1102/j1102;100.html,100,26,26
2011,3,https://www.anekdot.ru/an/an1103/j1103;100.html,100,25,25
2011,4,https://www.anekdot.ru/an/an1104/j1104;100.html,100,30,30
2011,5,https://www.anekdot.ru/an/an1105/j1105;100.html,100,43,30
2011,6,https://www.anekdot.ru/an/an1106/j1106;100.html,100,55,30
2011,7,https://www.anekdot.ru/an/an1107/j1107;100.html,100,52,30
2011,8,https://www.anekdot.ru/an/an1108/j1108;100.html,100,49,30
2011,9,https://www.anekdot.ru/an/an1109/j1109;100.html,100,52,30
2011,10,https://www.anekdot.ru/an/an1110/j1110;100.html,100,55,30
2011,11,https://www.anekdot.ru/an/an1111/j1111;100.html,100,55,30
2011,12,https://www.anekdot.ru/an/an1112/j1112;100.html,100,62,30
2012,1,https://www.anekdot.ru/an/an1201/j1201;100.html,24,15,15
2012,2,https://www.anekdot.ru/an/an1202/j1202;100.html,100,56,30
2012,3,https://www.anekdot.ru/an/an1203/j1203;100.html,100,53,30
2012,4,https://www.anekdot.ru/an/an1204/j1204;100.html,100,42,30
2012,5,https://www.anekdot.ru/an/an1205/j1205;100.html,100,46,30
2012,6,https://www.anekdot.ru/an/an1206/j1206;100.html,100,64,30
2012,7,https://www.anekdot.ru/an/an1207/j1207;100.html,100,62,30
2012,8,https://www.anekdot.ru/an/an1208/j1208;100.html,100,68,30
2012,9,https://www.anekdot.ru/an/an1209/j1209;100.html,100,69,30
2012,10,https://www.anekdot.ru/an/an1210/j1210;100.html,100,49,30
2012,11,https://www.anekdot.ru/an/an1211/j1211;100.html,32,21,21
2012,12,https://www.anekdot.ru/an/an1212/j1212;100.html,100,61,30
2013,1,https://www.anekdot.ru/an/an1301/j1301;100.html,100,52,30
2013,2,https://www.anekdot.ru/an/an1302/j1302;100.html,100,50,30
