feature_set,method,metric,params,k,resolution,seed,rows,cluster_count,largest_cluster_share,noise_share,ari_all,ami_all,v_measure_all,ari_excluding_other,ami_excluding_other,v_measure_excluding_other,ari_single_clear,ami_single_clear,v_measure_single_clear,pairwise_f1_all,pairwise_precision_all,pairwise_recall_all,balanced_score,n_clusters,error
hybrid_dense_lexical_dw1.25_lw1.0,kmeans,,n_clusters=12,,,,5509.0,12.0,0.14249410056271555,0.0,0.12803466650508577,0.23895978655557049,0.24647504841333887,0.12803466650508577,0.23895978655557049,0.24647504841333887,0.12803466650508577,0.23895978655557049,0.24647504841333887,0.20912851563762783,0.18056438307886527,0.24842828403965703,0.18964682249350012,12.0,
hybrid_dense_lexical_dw0.75_lw0.25,agglomerative,cosine,n_clusters=20;linkage=average,,,,5509.0,20.0,0.28244690506444003,0.0,0.1198237067244013,0.23946115275536242,0.2526306669357317,0.1198237067244013,0.23946115275536242,0.2526306669357317,0.1198237067244013,0.23946115275536242,0.2526306669357317,0.21085925345968864,0.16056518511564344,0.3070310345657215,0.18916885999426353,,
hybrid_dense_lexical_dw1.25_lw1.0,agglomerative,cosine,n_clusters=25;linkage=average,,,,5509.0,25.0,0.31239789435469234,0.0,0.13236773660672624,0.21867127344378737,0.23534655696590556,0.13236773660672624,0.21867127344378737,0.23534655696590556,0.13236773660672624,0.21867127344378737,0.23534655696590556,0.2229384731648191,0.16673089185853943,0.3363157534335308,0.18686890954521557,,
hybrid_dense_lexical_structural_dw1.0_lw0.25_sw0.1,agglomerative,cosine,n_clusters=20;linkage=average,,,,5509.0,20.0,0.28480667997821746,0.0,0.11716979818265492,0.23590641568629456,0.24901794900476792,0.11716979818265492,0.23590641568629456,0.24901794900476792,0.11716979818265492,0.23590641568629456,0.24901794900476792,0.20610711573563878,0.15968630051442484,0.29057821750661167,0.18580813299037513,,
dense_bge_pca,kmeans,,n_clusters=12,,,,5509.0,12.0,0.11036485750589944,0.0,0.13271577720047162,0.223322849297985,0.23089464244216912,0.13271577720047162,0.223322849297985,0.23089464244216912,0.13271577720047162,0.223322849297985,0.23089464244216912,0.20868828912303683,0.18788325093847166,0.23467472836195458,0.18394062145488813,12.0,
hybrid_dense_lexical_dw1.25_lw1.0,agglomerative,cosine,n_clusters=20;linkage=average,,,,5509.0,20.0,0.31984026139045196,0.0,0.1266868402331808,0.2145365527623771,0.22812772455573016,0.1266868402331808,0.2145365527623771,0.22812772455573016,0.1266868402331808,0.2145365527623771,0.22812772455573016,0.21976370525508002,0.16020782113718457,0.3497981800112153,0.18189803481237823,,
hybrid_dense_lexical_dw1.25_lw1.0,kmeans,,n_clusters=10,,,,5509.0,10.0,0.16554728625884915,0.0,0.1138433034600812,0.232059885917592,0.23851016852181958,0.1138433034600812,0.232059885917592,0.23851016852181958,0.1138433034600812,0.232059885917592,0.23851016852181958,0.20379126880421228,0.16060326723546414,0.27875032618773976,0.1809507641128401,10.0,
hybrid_dense_lexical_dw0.75_lw0.25,kmeans,,n_clusters=10,,,,5509.0,10.0,0.1444908331820657,0.0,0.1319368133187463,0.20743814159559662,0.21398056408709235,0.1319368133187463,0.20743814159559662,0.21398056408709235,0.1319368133187463,0.20743814159559662,0.21398056408709235,0.21935414590030466,0.18120068672739398,0.27786013439860235,0.17843464251657723,10.0,
hybrid_dense_lexical_dw0.75_lw0.25,agglomerative,cosine,n_clusters=15;linkage=average,,,,5509.0,15.0,0.31403158467961517,0.0,0.10523422001118478,0.22576578078074475,0.2360416234423131,0.10523422001118478,0.22576578078074475,0.2360416234423131,0.10523422001118478,0.22576578078074475,0.2360416234423131,0.20328362076371198,0.1457013226175095,0.33612142882259644,0.17639055217282507,,
dense_bge_pca,kmeans,,n_clusters=10,,,,5509.0,10.0,0.1408604102377927,0.0,0.13078669362837683,0.20196504537224175,0.20854480461370484,0.13078669362837683,0.20196504537224175,0.20854480461370484,0.13078669362837683,0.20196504537224175,0.20854480461370484,0.2170311789970536,0.17966997028082135,0.2740097310362314,0.17517145411579832,10.0,
hybrid_dense_lexical_dw0.75_lw0.25,agglomerative,cosine,n_clusters=12;linkage=average,,,,5509.0,12.0,0.31403158467961517,0.0,0.10487086154908229,0.2227863202857595,0.23104407807624341,0.10487086154908229,0.2227863202857595,0.23104407807624341,0.10487086154908229,0.2227863202857595,0.23104407807624341,0.20360646344037756,0.14489992184913947,0.3422833696997962,0.17450083472901295,,
