cluster_final,rank,term,score
13,13,выпить,0.0074170081588233825
13,14,запретили,0.006467708215580371
13,15,мыть,0.006382640780620773
13,16,установили,0.006382640780620773
13,17,кофе,0.006357435564705757
13,18,пиво,0.006189458469506773
13,19,водку,0.005984340484645469
13,20,похудеть,0.0059247798668839976
14,1,ребенок,0.017515804182936755
14,2,ребенка,0.014231590898636112
14,3,школу,0.012926652401381872
14,4,родители,0.01288440661130714
14,5,сына,0.01116648572979952
14,6,школе,0.010576351964766986
14,7,дети,0.010235034719386223
14,8,сын,0.010033620262600167
14,9,ваш,0.009478161922278613
14,10,папа,0.008625528587004352
14,11,мама,0.008589604407538092
14,12,дерево,0.008319962681075219
14,13,карло,0.008319962681075219
14,14,ребёнка,0.0082260515281521
14,15,ребёнок,0.00766316433003483
14,16,буратино,0.007269430755260833
14,17,детям,0.006351289841651859
14,18,учился,0.005875751091537214
14,19,сыну,0.005546641787383479
14,20,лето,0.005473688807167735
15,1,гаишник,0.08579384923623132
15,2,водитель,0.026095309872181997
15,3,гибдд,0.023589141031365113
15,4,останавливает,0.02000629769695067
15,5,мент,0.011057409858452395
15,6,машину,0.010167223391851967
15,7,милиция,0.009614061531856526
15,8,гаишники,0.008845927886761917
15,9,товарищ,0.008845927886761917
15,10,гаи,0.008240624170162737
15,11,права,0.008240624170162737
15,12,инспектор,0.007968208525161396
15,13,скорости,0.007828551272719829
15,14,таможенник,0.0077118066729196695
15,15,открывай,0.0077118066729196695
15,16,едет,0.007553905489315842
15,17,остановил,0.007171387672645258
15,18,тормозит,0.007171387672645258
15,19,документы,0.007073262387591446
15,20,скорость,0.006124145764144331
16,1,футболу,0.03523875836419669
16,2,сборной,0.03217451850644046
16,3,матча,0.029110278648684224
16,4,судья,0.01947633690341817
16,5,футбол,0.016879491982962413
16,6,мира,0.01606397551335449
16,7,сочи,0.015438576241027409
16,8,поле,0.014035069310024918
16,9,олимпиады,0.011228055448019934
16,10,тренер,0.010724839502146819
16,11,мяч,0.010724839502146819
16,12,команды,0.010724839502146819
16,13,чемпионат,0.010187585529874282
16,14,хоккей,0.010187585529874282
16,15,играют,0.009824548517017443
16,16,футболист,0.00848965460822857
16,17,хоккею,0.007660599644390585
16,18,святой,0.007660599644390585
16,19,олимпиаде,0.007660599644390585
16,20,играть,0.007453074941043474
17,1,штирлиц,0.067542913470404
17,2,филипп,0.025003909009792196
17,3,фильм,0.02119001028567072
17,4,блядь,0.019865634642816297
17,5,киркоров,0.015627443131120123
17,6,киркорова,0.015586826185477848
17,7,фильма,0.014805024964148924
17,8,гарри,0.010939210191784086
17,9,подумал,0.00826258147035958
17,10,оскара,0.006927478304656821
17,11,фильме,0.006927478304656821
17,12,пугачевой,0.006250977252448049
17,13,голубой,0.00572624226993374
17,14,телевидении,0.005195608728492616
17,15,нахрен,0.005195608728492616
17,16,каприо,0.005195608728492616
17,17,режиссер,0.005195608728492616
17,18,герои,0.005195608728492616
17,19,ди,0.0046882329393360365
17,20,забудь,0.0046882329393360365
18,1,самолет,0.03256066351092007
18,2,самолете,0.015292366800856478
18,3,пилот,0.015235589984031912
18,4,самолета,0.014729745529757293
18,5,стюардесса,0.014147333556601062
18,6,летит,0.01349326482428513
18,7,командир,0.012765779459122988
18,8,парашютом,0.011783796423805833
18,9,пассажиры,0.010882564274308509
18,10,парашют,0.009819830353171528
18,11,летят,0.007855864282537222
18,12,старлей,0.007617794992015956
18,13,пассажиров,0.007196407906285402
18,14,самолеты,0.006873881247220069
18,15,полета,0.006529538564585105
18,16,самолетов,0.006529538564585105
18,17,космос,0.006529538564585105
18,18,солдату,0.0054412821371542545
18,19,пассажир,0.0054412821371542545
18,20,полет,0.0054412821371542545
19,1,рабинович,0.08128566271121353
19,2,армянское,0.018637129005132314
19,3,рабиновича,0.015232213800699656
19,4,радио,0.014534282400291256
19,5,сы,0.009139328280419794
19,6,бизнесмен,0.007112495487231185
19,7,штук,0.007112495487231185
19,8,фамилия,0.007112495487231185
19,9,сара,0.006872358005696827
19,10,отвечает,0.0065766996664097304
19,11,спрашивают,0.0065766996664097304
19,12,менеджер,0.006510689623582555
19,13,пятьсот,0.00629546154418129
19,14,слышали,0.00629546154418129
19,15,би,0.006092885520279863
19,16,абрамович,0.005731017147013042
19,17,гусей,0.005497886404557462
19,18,ему,0.005119312888838078
19,19,возмущается,0.005036369235345032
19,20,закрыл,0.005036369235345032
