cluster_final,tag,count,share_of_cluster,cluster_size
1,кошки,2,0.0037735849056603774,530
1,врачи,2,0.0037735849056603774,530
1,сантехник,2,0.0037735849056603774,530
1,коронавирус,2,0.0037735849056603774,530
1,семья,2,0.0037735849056603774,530
1,почта,1,0.0018867924528301887,530
1,чукча,1,0.0018867924528301887,530
1,1 апреля,1,0.0018867924528301887,530
1,парашют,1,0.0018867924528301887,530
1,поезд,1,0.0018867924528301887,530
1,новые русские,1,0.0018867924528301887,530
1,налоги,1,0.0018867924528301887,530
1,трактор,1,0.0018867924528301887,530
1,Абрамович,1,0.0018867924528301887,530
1,такси,1,0.0018867924528301887,530
1,Буратино,1,0.0018867924528301887,530
1,дача,1,0.0018867924528301887,530
1,Муму,1,0.0018867924528301887,530
1,Адам и Ева,1,0.0018867924528301887,530
1,охота,1,0.0018867924528301887,530
1,собаки,1,0.0018867924528301887,530
1,тараканы,1,0.0018867924528301887,530
1,apple,1,0.0018867924528301887,530
1,животные,1,0.0018867924528301887,530
1,кризис,1,0.0018867924528301887,530
1,британские ученые,1,0.0018867924528301887,530
1,пенсионеры,1,0.0018867924528301887,530
1,веган,1,0.0018867924528301887,530
1,фсб,1,0.0018867924528301887,530
1,Путин,1,0.0018867924528301887,530
1,коррупция,1,0.0018867924528301887,530
2,девушки,204,0.39080459770114945,522
2,муж и жена,89,0.17049808429118773,522
2,мужчины,82,0.15708812260536398,522
2,секс,34,0.06513409961685823,522
2,любовь,16,0.03065134099616858,522
2,интернет,15,0.028735632183908046,522
2,о жизни,15,0.028735632183908046,522
2,звёзды,14,0.02681992337164751,522
2,свадьба,11,0.0210727969348659,522
2,блондинки,9,0.017241379310344827,522
2,пошлые,7,0.013409961685823755,522
2,геи,6,0.011494252873563218,522
2,дети,6,0.011494252873563218,522
2,работа,5,0.009578544061302681,522
2,мобильный,5,0.009578544061302681,522
2,авто,5,0.009578544061302681,522
2,приметы,4,0.007662835249042145,522
2,фильмы,4,0.007662835249042145,522
2,отдых,4,0.007662835249042145,522
2,деньги,4,0.007662835249042145,522
2,водка,4,0.007662835249042145,522
2,русский язык,4,0.007662835249042145,522
2,23 февраля,3,0.005747126436781609,522
2,тёща,3,0.005747126436781609,522
2,тв,3,0.005747126436781609,522
2,Вконтакте,3,0.005747126436781609,522
2,кино,3,0.005747126436781609,522
2,кошки,3,0.005747126436781609,522
2,коронавирус,3,0.005747126436781609,522
2,юмор,2,0.0038314176245210726,522
2,лифт,2,0.0038314176245210726,522
2,Валуев,2,0.0038314176245210726,522
2,рыбалка,2,0.0038314176245210726,522
2,Челябинск,2,0.0038314176245210726,522
2,объявления,2,0.0038314176245210726,522
2,диета,2,0.0038314176245210726,522
2,соседи,2,0.0038314176245210726,522
2,пенсионеры,2,0.0038314176245210726,522
2,Одесса,2,0.0038314176245210726,522
2,брюнетки,2,0.0038314176245210726,522
2,Буратино,1,0.0019157088122605363,522
2,парашют,1,0.0019157088122605363,522
2,Колобок,1,0.0019157088122605363,522
2,Чебурашка,1,0.0019157088122605363,522
2,чукча,1,0.0019157088122605363,522
2,метро,1,0.0019157088122605363,522
2,Донцова,1,0.0019157088122605363,522
