cluster_final,year,size,cluster_size,share_of_cluster
2,2001,1,522,0.0019157088122605363
2,2002,4,522,0.007662835249042145
2,2003,6,522,0.011494252873563218
2,2004,2,522,0.0038314176245210726
2,2005,2,522,0.0038314176245210726
2,2006,4,522,0.007662835249042145
2,2007,2,522,0.0038314176245210726
2,2008,5,522,0.009578544061302681
2,2009,11,522,0.0210727969348659
2,2010,15,522,0.028735632183908046
2,2011,34,522,0.06513409961685823
2,2012,63,522,0.1206896551724138
2,2013,58,522,0.1111111111111111
2,2014,39,522,0.07471264367816093
2,2015,62,522,0.11877394636015326
2,2016,49,522,0.09386973180076628
2,2017,32,522,0.06130268199233716
2,2018,29,522,0.05555555555555555
2,2019,30,522,0.05747126436781609
2,2020,27,522,0.05172413793103448
2,2021,11,522,0.0210727969348659
2,2022,12,522,0.022988505747126436
2,2023,3,522,0.005747126436781609
2,2024,9,522,0.017241379310344827
2,2025,8,522,0.01532567049808429
3,1997,1,457,0.002188183807439825
3,1998,1,457,0.002188183807439825
3,1999,2,457,0.00437636761487965
3,2000,1,457,0.002188183807439825
3,2001,1,457,0.002188183807439825
3,2002,2,457,0.00437636761487965
3,2003,3,457,0.006564551422319475
3,2005,5,457,0.010940919037199124
3,2006,3,457,0.006564551422319475
3,2007,6,457,0.01312910284463895
3,2008,14,457,0.030634573304157548
3,2009,10,457,0.02188183807439825
3,2010,10,457,0.02188183807439825
3,2011,23,457,0.05032822757111598
3,2012,34,457,0.07439824945295405
3,2013,40,457,0.087527352297593
3,2014,43,457,0.09409190371991247
3,2015,42,457,0.09190371991247265
3,2016,32,457,0.0700218818380744
3,2017,30,457,0.06564551422319474
3,2018,30,457,0.06564551422319474
3,2019,26,457,0.05689277899343545
3,2020,32,457,0.0700218818380744
3,2021,10,457,0.02188183807439825
3,2022,17,457,0.037199124726477024
3,2023,13,457,0.028446389496717725
3,2024,11,457,0.024070021881838075
3,2025,14,457,0.030634573304157548
3,2026,1,457,0.002188183807439825
4,1996,1,361,0.002770083102493075
4,1997,3,361,0.008310249307479225
4,1999,3,361,0.008310249307479225
4,2000,2,361,0.00554016620498615
4,2001,2,361,0.00554016620498615
4,2002,6,361,0.01662049861495845
4,2003,4,361,0.0110803324099723
4,2004,8,361,0.0221606648199446
4,2005,6,361,0.01662049861495845
4,2006,22,361,0.060941828254847646
4,2007,13,361,0.036011080332409975
4,2008,17,361,0.04709141274238227
4,2009,35,361,0.09695290858725762
4,2010,22,361,0.060941828254847646
4,2011,31,361,0.08587257617728532
4,2012,14,361,0.038781163434903045
4,2013,22,361,0.060941828254847646
4,2014,21,361,0.05817174515235457
4,2015,21,361,0.05817174515235457
4,2016,11,361,0.030470914127423823
4,2017,20,361,0.055401662049861494
4,2018,18,361,0.04986149584487535
4,2019,12,361,0.0332409972299169
4,2020,12,361,0.0332409972299169
4,2021,8,361,0.0221606648199446
4,2022,9,361,0.024930747922437674
4,2023,5,361,0.013850415512465374
4,2024,2,361,0.00554016620498615
4,2025,10,361,0.027700831024930747
4,2026,1,361,0.002770083102493075
5,1996,40,320,0.125
5,1997,13,320,0.040625
5,1998,23,320,0.071875
5,1999,23,320,0.071875
5,2000,14,320,0.04375
5,2001,19,320,0.059375
5,2002,8,320,0.025
5,2003,18,320,0.05625
5,2004,13,320,0.040625
5,2005,6,320,0.01875
5,2006,7,320,0.021875
5,2007,7,320,0.021875
5,2008,13,320,0.040625
5,2009,11,320,0.034375
5,2010,5,320,0.015625
5,2011,8,320,0.025
5,2012,11,320,0.034375
5,2013,12,320,0.0375
5,2014,8,320,0.025
5,2015,14,320,0.04375
5,2016,5,320,0.015625
5,2017,9,320,0.028125
5,2018,7,320,0.021875
5,2019,4,320,0.0125
5,2020,6,320,0.01875
5,2021,1,320,0.003125
5,2022,7,320,0.021875
5,2023,4,320,0.0125
5,2024,2,320,0.00625
5,2025,1,320,0.003125
5,2026,1,320,0.003125
6,1996,1,247,0.004048582995951417
6,1997,5,247,0.020242914979757085
6,1998,3,247,0.012145748987854251
6,1999,11,247,0.044534412955465584
6,2000,7,247,0.02834008097165992
6,2001,8,247,0.032388663967611336
6,2002,3,247,0.012145748987854251
6,2003,14,247,0.05668016194331984
6,2004,15,247,0.06072874493927125
6,2005,9,247,0.03643724696356275
6,2006,9,247,0.03643724696356275
6,2007,7,247,0.02834008097165992
6,2008,6,247,0.024291497975708502
6,2009,10,247,0.04048582995951417
6,2010,10,247,0.04048582995951417
6,2011,11,247,0.044534412955465584
6,2012,12,247,0.048582995951417005
6,2013,18,247,0.0728744939271255
6,2014,8,247,0.032388663967611336
6,2015,8,247,0.032388663967611336
6,2016,8,247,0.032388663967611336
6,2017,13,247,0.05263157894736842
6,2018,12,247,0.048582995951417005
6,2019,9,247,0.03643724696356275
6,2020,8,247,0.032388663967611336
6,2021,8,247,0.032388663967611336
6,2022,7,247,0.02834008097165992
6,2023,1,247,0.004048582995951417
6,2024,1,247,0.004048582995951417
6,2025,5,247,0.020242914979757085
7,1996,45,241,0.18672199170124482
7,1997,15,241,0.06224066390041494
7,1998,14,241,0.058091286307053944
7,1999,12,241,0.04979253112033195
7,2000,7,241,0.029045643153526972
7,2001,14,241,0.058091286307053944
7,2002,12,241,0.04979253112033195
7,2003,11,241,0.04564315352697095
7,2004,15,241,0.06224066390041494
7,2005,5,241,0.02074688796680498
7,2006,6,241,0.024896265560165973
7,2007,7,241,0.029045643153526972
7,2008,14,241,0.058091286307053944
7,2009,10,241,0.04149377593360996
7,2010,7,241,0.029045643153526972
7,2011,6,241,0.024896265560165973
7,2012,8,241,0.03319502074688797
7,2013,5,241,0.02074688796680498
7,2014,2,241,0.008298755186721992
7,2015,4,241,0.016597510373443983
7,2016,1,241,0.004149377593360996
7,2017,2,241,0.008298755186721992
7,2018,6,241,0.024896265560165973
7,2019,2,241,0.008298755186721992
7,2020,2,241,0.008298755186721992
7,2021,1,241,0.004149377593360996
7,2022,3,241,0.012448132780082987
7,2023,1,241,0.004149377593360996
7,2024,2,241,0.008298755186721992
7,2025,2,241,0.008298755186721992
8,1996,12,222,0.05405405405405406
8,1997,30,222,0.13513513513513514
8,1998,14,222,0.06306306306306306
8,1999,2,222,0.009009009009009009
8,2000,18,222,0.08108108108108109
8,2001,21,222,0.0945945945945946
8,2002,5,222,0.02252252252252252
8,2003,3,222,0.013513513513513514
8,2004,12,222,0.05405405405405406
8,2005,3,222,0.013513513513513514
8,2006,9,222,0.04054054054054054
8,2007,8,222,0.036036036036036036
8,2008,4,222,0.018018018018018018
8,2009,3,222,0.013513513513513514
8,2010,7,222,0.03153153153153153
8,2011,10,222,0.04504504504504504
8,2012,11,222,0.04954954954954955
8,2013,6,222,0.02702702702702703
8,2014,1,222,0.0045045045045045045
8,2015,4,222,0.018018018018018018
8,2016,4,222,0.018018018018018018
8,2017,4,222,0.018018018018018018
8,2018,5,222,0.02252252252252252
8,2019,2,222,0.009009009009009009
8,2020,6,222,0.02702702702702703
8,2022,5,222,0.02252252252252252
8,2023,5,222,0.02252252252252252
8,2024,2,222,0.009009009009009009
8,2025,6,222,0.02702702702702703
9,1996,7,220,0.031818181818181815
9,1997,15,220,0.06818181818181818
9,1998,11,220,0.05
9,1999,8,220,0.03636363636363636
9,2000,8,220,0.03636363636363636
9,2001,19,220,0.08636363636363636
9,2002,7,220,0.031818181818181815
9,2003,6,220,0.02727272727272727
9,2004,13,220,0.05909090909090909
9,2005,8,220,0.03636363636363636
9,2006,10,220,0.045454545454545456
9,2007,8,220,0.03636363636363636
9,2008,8,220,0.03636363636363636
9,2009,5,220,0.022727272727272728
9,2010,13,220,0.05909090909090909
9,2011,12,220,0.05454545454545454
9,2012,7,220,0.031818181818181815
9,2013,6,220,0.02727272727272727
9,2014,6,220,0.02727272727272727
9,2015,5,220,0.022727272727272728
9,2016,9,220,0.04090909090909091
9,2017,7,220,0.031818181818181815
9,2018,4,220,0.01818181818181818
9,2019,4,220,0.01818181818181818
9,2020,7,220,0.031818181818181815
9,2022,4,220,0.01818181818181818
9,2023,1,220,0.004545454545454545
9,2024,1,220,0.004545454545454545
9,2025,1,220,0.004545454545454545
10,1996,3,219,0.0136986301369863
10,1998,5,219,0.0228310502283105
10,1999,1,219,0.0045662100456621
10,2000,4,219,0.0182648401826484
10,2001,4,219,0.0182648401826484
10,2002,4,219,0.0182648401826484
10,2003,2,219,0.0091324200913242
10,2004,5,219,0.0228310502283105
10,2005,5,219,0.0228310502283105
10,2006,4,219,0.0182648401826484
10,2007,2,219,0.0091324200913242
10,2008,6,219,0.0273972602739726
10,2009,9,219,0.0410958904109589
10,2010,10,219,0.045662100456621
10,2011,13,219,0.0593607305936073
10,2012,17,219,0.0776255707762557
10,2013,21,219,0.0958904109589041
10,2014,20,219,0.091324200913242
10,2015,13,219,0.0593607305936073
10,2016,12,219,0.0547945205479452
10,2017,10,219,0.045662100456621
10,2018,6,219,0.0273972602739726
10,2019,4,219,0.0182648401826484
10,2020,12,219,0.0547945205479452
10,2021,5,219,0.0228310502283105
10,2022,11,219,0.0502283105022831
10,2023,3,219,0.0136986301369863
10,2024,4,219,0.0182648401826484
10,2025,4,219,0.0182648401826484
11,1997,1,215,0.004651162790697674
11,2000,1,215,0.004651162790697674
11,2001,5,215,0.023255813953488372
11,2002,6,215,0.027906976744186046
11,2003,1,215,0.004651162790697674
11,2004,4,215,0.018604651162790697
11,2005,3,215,0.013953488372093023
11,2006,6,215,0.027906976744186046
11,2007,6,215,0.027906976744186046
11,2008,8,215,0.037209302325581395
11,2009,8,215,0.037209302325581395
11,2010,11,215,0.05116279069767442
11,2011,11,215,0.05116279069767442
11,2012,12,215,0.05581395348837209
11,2013,10,215,0.046511627906976744
11,2014,15,215,0.06976744186046512
11,2015,13,215,0.06046511627906977
11,2016,15,215,0.06976744186046512
11,2017,9,215,0.04186046511627907
11,2018,11,215,0.05116279069767442
11,2019,9,215,0.04186046511627907
11,2020,17,215,0.07906976744186046
11,2021,16,215,0.07441860465116279
11,2022,5,215,0.023255813953488372
11,2023,1,215,0.004651162790697674
11,2025,9,215,0.04186046511627907
11,2026,2,215,0.009302325581395349
12,1996,1,198,0.005050505050505051
12,1997,1,198,0.005050505050505051
12,1998,5,198,0.025252525252525252
12,1999,5,198,0.025252525252525252
