feature_set,method,params,rows,cluster_count,largest_cluster_share,noise_share,ari_all,ami_all,v_measure_all,ari_excluding_other,ami_excluding_other,v_measure_excluding_other,ari_single_clear,ami_single_clear,v_measure_single_clear,pairwise_f1_all,pairwise_precision_all,pairwise_recall_all,balanced_score
hybrid_dense_lexical_structural_dw1.0_lw0.25_sw0.25,minibatch_kmeans_ablation,dense=1.0;lexical=0.25;structural=0.25,5509,12,0.11798874568887276,0.0,0.10454991311199892,0.18177547208658285,0.18975576114410833,0.10454991311199892,0.18177547208658285,0.18975576114410833,0.10454991311199892,0.18177547208658285,0.18975576114410833,0.1826809288192662,0.16420508399006706,0.20584158287574514,0.1516951944007966
hybrid_dense_lexical_structural_dw0.5_lw0.5_sw0.1,minibatch_kmeans_ablation,dense=0.5;lexical=0.5;structural=0.1,5509,12,0.14775821383191143,0.0,0.09631172766091299,0.18875970572896994,0.19676770862481194,0.09631172766091299,0.18875970572896994,0.19676770862481194,0.09631172766091299,0.18875970572896994,0.19676770862481194,0.1788312446847648,0.15341791603328994,0.21433541908415737,0.15160363553722384
hybrid_dense_lexical_structural_dw1.25_lw1.25_sw0.25,minibatch_kmeans_ablation,dense=1.25;lexical=1.25;structural=0.25,5509,12,0.14775821383191143,0.0,0.09631172766091299,0.18875970572896994,0.19676770862481194,0.09631172766091299,0.18875970572896994,0.19676770862481194,0.09631172766091299,0.18875970572896994,0.19676770862481194,0.1788312446847648,0.15341791603328994,0.21433541908415737,0.15160363553722384
hybrid_dense_lexical_structural_dw1.0_lw0.75_sw0.25,minibatch_kmeans_ablation,dense=1.0;lexical=0.75;structural=0.25,5509,12,0.11435832274459974,0.0,0.10990152676587711,0.17044248835269582,0.17850115805643088,0.10990152676587711,0.17044248835269582,0.17850115805643088,0.10990152676587711,0.17044248835269582,0.17850115805643088,0.18974120168342834,0.17278352301743635,0.21038970412689953,0.1496324855510957
hybrid_dense_lexical_dw1.25_lw0.75,minibatch_kmeans_ablation,dense=1.25;lexical=0.75,5509,12,0.11544744962788164,0.0,0.10090141356363165,0.1811089338713869,0.18908385951045706,0.10090141356363165,0.1811089338713869,0.18908385951045706,0.10090141356363165,0.1811089338713869,0.18908385951045706,0.17835905218273443,0.16087122119448863,0.20011270827434194,0.14943498615752804
hybrid_dense_lexical_structural_dw1.0_lw0.5_sw0.1,minibatch_kmeans_ablation,dense=1.0;lexical=0.5;structural=0.1,5509,12,0.11544744962788164,0.0,0.10104800365834116,0.1801347209537744,0.188125555879411,0.10104800365834116,0.1801347209537744,0.188125555879411,0.10104800365834116,0.1801347209537744,0.188125555879411,0.17956119428010645,0.16150771883081264,0.20215866882089378,0.14928497311413128
hybrid_dense_lexical_structural,minibatch_kmeans_ablation,n_clusters=12,5509,12,0.1350517335269559,0.0,0.0927443136539303,0.18850904633983584,0.19646476907951166,0.0927443136539303,0.18850904633983584,0.19646476907951166,0.0927443136539303,0.18850904633983584,0.19646476907951166,0.17302797758137498,0.15263953398728453,0.19970277588079943,0.14924689115029915
hybrid_dense_lexical_structural_dw0.75_lw0.25_sw0.25,minibatch_kmeans_ablation,dense=0.75;lexical=0.25;structural=0.25,5509,12,0.12361590125249591,0.0,0.10280883983888552,0.17778148582580677,0.18580881725886003,0.10280883983888552,0.17778148582580677,0.18580881725886003,0.10280883983888552,0.17778148582580677,0.18580881725886003,0.1813391826764754,0.162514252195113,0.2050966718671634,0.1491189899668371
hybrid_dense_lexical_structural_dw1.25_lw1.0_sw0.25,minibatch_kmeans_ablation,dense=1.25;lexical=1.0;structural=0.25,5509,12,0.1170811399528045,0.0,0.10594788865301877,0.17126177520254174,0.17932678807003047,0.10594788865301877,0.17126177520254174,0.17932678807003047,0.10594788865301877,0.17126177520254174,0.17932678807003047,0.18339458397127464,0.1657992264826497,0.205167924224506,0.14754733544817655
hybrid_dense_lexical_structural_dw1.0_lw0.5_sw0.25,minibatch_kmeans_ablation,dense=1.0;lexical=0.5;structural=0.25,5509,12,0.1265202396079143,0.0,0.09677232143678861,0.17907146465605975,0.18707005918488595,0.09677232143678861,0.17907146465605975,0.18707005918488595,0.09677232143678861,0.17907146465605975,0.18707005918488595,0.17484955604717164,0.15713451945006646,0.19706643865912318,0.14658341536790437
hybrid_dense_lexical_structural_dw1.0_lw1.25_sw0.1,minibatch_kmeans_ablation,dense=1.0;lexical=1.25;structural=0.1,5509,12,0.1847885278634961,0.0,0.08529263219449704,0.1869510206719995,0.19514688583262516,0.08529263219449704,0.1869510206719995,0.19514688583262516,0.08529263219449704,0.1869510206719995,0.19514688583262516,0.1720681911332741,0.13977567915321307,0.22376478949092504,0.1461783534775601
hybrid_dense_lexical_structural_dw0.5_lw0.25_sw0.1,minibatch_kmeans_ablation,dense=0.5;lexical=0.25;structural=0.1,5509,12,0.12597567616627336,0.0,0.0965035316166974,0.17728006798991705,0.18528828098845174,0.0965035316166974,0.17728006798991705,0.18528828098845174,0.0965035316166974,0.17728006798991705,0.18528828098845174,0.17387172103303317,0.15686230727148903,0.195018627401991,0.14550348753671222
hybrid_dense_lexical_dw0.75_lw1.0,minibatch_kmeans_ablation,dense=0.75;lexical=1.0,5509,12,0.22163732074786713,0.0,0.07942020350270806,0.1890377137956791,0.1973627119689894,0.07942020350270806,0.1890377137956791,0.1973627119689894,0.07942020350270806,0.1890377137956791,0.1973627119689894,0.1706158274451074,0.13302186296338853,0.23783018990141264,0.14509744729121707
